universityName,departmentName,ratioKo,ratioMath,ratioEn,ratioTg,cutoffPercentile70,recruitCount,competitionRate,additionalRank,koreanCut70,mathCut70,tamguCut70,region,admissionGroup,dataSource
경기대학교,건축학과(5년제),0.2,0.35,0.15,0.3,72.3,7,9.14,5,77.0,85.0,55.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,경영학부,0.3,0.25,0.2,0.25,77.0,79,5.65,82,68.0,78.0,85.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,경제학부,0.3,0.25,0.2,0.25,78.3,34,6.52,38,72.0,78.0,85.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,공공안전학부,0.25,0.3,0.2,0.25,79.0,14,5.85,16,88.0,59.0,90.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,공공인재학부,0.25,0.3,0.2,0.25,76.0,29,5.82,31,80.0,70.0,78.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,국어국문학과,0.3,0.25,0.2,0.25,73.7,16,6.93,8,82.0,70.0,69.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,글로벌어문학부,0.3,0.25,0.2,0.25,76.3,21,11.42,13,79.0,63.0,87.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,기계시스템공학과,0.2,0.35,0.15,0.3,68.3,2,7.50,2,56.0,76.0,73.0,경기,다군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,무역학과,0.3,0.25,0.2,0.25,71.0,27,9.25,14,92.0,66.0,55.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,문헌정보학과,0.2,0.35,0.15,0.3,78.0,5,11.80,7,67.0,78.0,89.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,바이오융합학부,0.2,0.35,0.15,0.3,80.0,15,7.53,25,70.0,87.0,83.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,법학과,0.3,0.25,0.2,0.25,80.0,15,8.53,9,75.0,70.0,95.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,사학과,0.3,0.25,0.2,0.25,72.7,10,9.20,23,79.0,68.0,71.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,사회과학대학 (통합),0.2,0.35,0.15,0.3,76.7,48,10.16,58,89.0,70.0,71.0,경기,가군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,산업경영공학과,0.2,0.35,0.15,0.3,75.3,21,7.14,19,70.0,81.0,75.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,소프트웨어 경영대학(통합),0.2,0.35,0.15,0.3,78.3,35,5.20,52,72.0,74.0,89.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
경기대학교,수학과,0.2,0.35,0.15,0.3,74.0,5,6.40,4,82.0,74.0,66.0,경기,나군,2025 어디가 공식 정시 입결(70%컷 백분위) · 반영비율 계열 추정
